YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2015,6,59,43,10,7029,727,Albaha,Inbound
2015,6,59,43,10,7029,727,Albaha,Inbound
2015,0,0,0,0,0,0,Albaha,Inbound
2015,0,0,0,0,0,0,Albaha,Inbound
2015,1041,8807,1120,8.5,1075,127,Albaha,Domestic
2015,947,7909,1016,8.4,1073,128,Albaha,Domestic
2015,33,269,39,8.3,1210,146,Albaha,Domestic
2015,62.4,629.1,65,10.1,1037,103,Albaha,Domestic
2016,1,2,0.4,3,720,240,Albaha,Inbound
2016,1,2,0.4,3,720,240,Albaha,Inbound
2016,0,0,0,0,0,0,Albaha,Inbound
2016,0,0,0,0,0,0,Albaha,Inbound
2016,1223,9707,1350,7.9,1104,139,Albaha,Domestic
2016,1148,9125,1269,8,1105,139,Albaha,Domestic
2016,27,276,35,10.4,1312,127,Albaha,Domestic
2016,49.3,307,47,6.2,950,152,Albaha,Domestic
2017,0,0,0,0,0,0,Albaha,Inbound
2017,0,0,0,0,0,0,Albaha,Inbound
2017,0,0,0,0,0,0,Albaha,Inbound
2017,0,0,0,0,0,0,Albaha,Inbound
2017,1106,7126,1028,6.4,929,144,Albaha,Domestic
2017,1035,6729,968,6.5,935,144,Albaha,Domestic
2017,33,122,21,3.7,646,175,Albaha,Domestic
2017,38,275,39,7.3,1029,141,Albaha,Domestic
2018,4,71,47,17,11481,664,Albaha,Inbound
2018,4,71,47,17,11481,664,Albaha,Inbound
2018,0,0,0,0,0,0,Albaha,Inbound
2018,0,0,0,0,0,0,Albaha,Inbound
2018,1235,8864,1380,7.2,1118,156,Albaha,Domestic
2018,1073,7683,1180,7.2,1100,154,Albaha,Domestic
2018,57,329,49,5.8,860,148,Albaha,Domestic
2018,105,852,151,8.1,1438,178,Albaha,Domestic
2019,3,26,15,10,5732,572,Albaha,Inbound
2019,3,26,15,10,5732,572,Albaha,Inbound
2019,0,0,0,0,0,0,Albaha,Inbound
2019,0,0,0,0,0,0,Albaha,Inbound
2019,1462,11016,1666,7.5,1140,151,Albaha,Domestic
2019,1231,8812,1364,7.2,1109,155,Albaha,Domestic
2019,114,892,123,7.8,1076,138,Albaha,Domestic
2019,117,1311,179,11.2,1530,136,Albaha,Domestic
2020,2,12,8,7,4906,698,Albaha,Inbound
2020,1,11,8,8,6014,774,Albaha,Inbound
2020,0,0,0,0,0,0,Albaha,Inbound
2020,0,1,0.1,4,399,100,Albaha,Inbound
2020,1532,11590,1545,7.6,1009,133,Albaha,Domestic
2020,1245,8760,1259,7,1011,144,Albaha,Domestic
2020,131,1179,144,9,1099,122,Albaha,Domestic
2020,156.1,1651,143,10.6,915,86,Albaha,Domestic
2021,1,5,3,8,4416,576,Albaha,Inbound
2021,1,5,3,8,4747,595,Albaha,Inbound
2021,0,0,0,0,0,0,Albaha,Inbound
2021,0.1,0.2,0,4,425,106,Albaha,Inbound
2021,1100,8743,1411,7.9,1283,161,Albaha,Domestic
2021,532,3371,586,6.3,1102,174,Albaha,Domestic
2021,276,2354,402,8.5,1455,171,Albaha,Domestic
2021,293,3018,424,10.3,1448,140,Albaha,Domestic
2022,4,41,9,10,2133,216,Albaha,Inbound
2022,4,41,9,10,2133,216,Albaha,Inbound
2022,0,0,0,0,0,0,Albaha,Inbound
2022,0,0,0,0,0,0,Albaha,Inbound
2022,1021,6623,1000,6.5,980,151,Albaha,Domestic
2022,784,4622,749,5.9,955,162,Albaha,Domestic
2022,100,744,107,7.4,1066,144,Albaha,Domestic
2022,137,1256,144,9.2,1057,115,Albaha,Domestic
2023,16,110,43,7,2664,393,Albaha,Inbound
2023,16,110,43,7,2664,393,Albaha,Inbound
2023,0,0,0,0,0,0,Albaha,Inbound
2023,0,0,0,0,0,0,Albaha,Inbound
2023,1071,7633,1237,7.1,1155,162,Albaha,Domestic
2023,785,5907,1003,7.5,1278,170,Albaha,Domestic
2023,122,629,101,5.2,828,160,Albaha,Domestic
2023,165,1097,134,6.7,813,122,Albaha,Domestic
2024,8,54,22,7,2734,410,Albaha,Inbound
2024,8,54,22,7,2734,410,Albaha,Inbound
2024,0,0,0,0,0,0,Albaha,Inbound
2024,0,0,0,0,0,0,Albaha,Inbound
2024,1127,10346,1123,9.2,997,109,Albaha,Domestic
2024,791,7108,844,9,1067,119,Albaha,Domestic
2024,107,971,105,9.1,982,108,Albaha,Domestic
2024,229,2266,174,9.9,762,77,Albaha,Domestic
2015,42,178,144,4.2,3427,807,Alqassim,Inbound
2015,16,79,63,5.1,4022,794,Alqassim,Inbound
2015,16,62,57,3.9,3537,907,Alqassim,Inbound
2015,3,12.7,9,4.3,2970,693,Alqassim,Inbound
2015,7.3,23.9,15,3.3,2104,646,Alqassim,Inbound
2015,947,3697,832,3.9,879,225,Alqassim,Domestic
2015,814,3170,745,3.9,915,235,Alqassim,Domestic
2015,58,210,49,3.6,844,233,Alqassim,Domestic
2015,35,148.3,20,4.2,582,137,Alqassim,Domestic
2015,40.1,168.9,18,4.2,453,107,Alqassim,Domestic
2016,34,114,89,3.4,2642,778,Alqassim,Inbound
2016,19,63,48,3.3,2531,763,Alqassim,Inbound
2016,14,49,39,3.5,2811,793,Alqassim,Inbound
2016,0.2,18848,1765,2,2092,1046,Alqassim,Inbound
2016,0.6,2,2,2.8,2429,866,Alqassim,Inbound
2016,734,3377,757,4.6,1032,224,Alqassim,Domestic
2016,563,2584,622,4.6,1105,241,Alqassim,Domestic
2016,96,486,82,5.1,856,169,Alqassim,Domestic
2016,40.2,143,28,3.6,684,192,Alqassim,Domestic
2016,34.4,164,25,4.8,724,152,Alqassim,Domestic
2017,68,215,179,3.2,2621,830,Alqassim,Inbound
2017,21,70,64,3.4,3113,914,Alqassim,Inbound
2017,39,120,95,3,2410,792,Alqassim,Inbound
2017,1,3,3,3,2453,820,Alqassim,Inbound
2017,7,22,17,3.1,2378,771,Alqassim,Inbound
2017,908,3967,763,4.4,840,192,Alqassim,Domestic
2017,648,2692,565,4.2,872,210,Alqassim,Domestic
2017,148,655,129,4.4,867,197,Alqassim,Domestic
2017,49,380,31,7.7,634,82,Alqassim,Domestic
2017,63,240,38,3.8,609,160,Alqassim,Domestic
2018,75,244,190,3.2,2524,777,Alqassim,Inbound
2018,22,76,58,3.5,2660,767,Alqassim,Inbound
2018,41,128,100,3.2,2470,782,Alqassim,Inbound
2018,2,6,5,3.1,2625,852,Alqassim,Inbound
2018,11,34,26,3.2,2438,771,Alqassim,Inbound
2018,1072,6246,1299,5.8,1212,208,Alqassim,Domestic
2018,745,4509,935,6.1,1254,207,Alqassim,Domestic
